Recom1,Recom2,Recom3,Title,imdb_id
tt6900644,tt3061222,tt5702566,Grey Lady,tt3693042
tt6083388,tt6877238,tt1366338,Sleight,tt4573516
tt2334871,tt3823116,tt4573516,How to Be a Latin Lover,tt4795124
tt6264596,tt4899370,tt5525310,Buster's Mal Heart,tt5173032
tt4411596,tt6574146,tt5536736,Small Crimes,tt5717492
tt3229488,tt5247776,tt4290974,Casting JonBenet,tt6333052
tt6973942,tt3693042,tt3898776,This Is Not What I Expected,tt6772874
tt3203620,tt3914332,tt6304162,LA 92,tt6794424
tt3823116,tt4835894,tt5767628,Unlocked,tt1734493
tt5952382,tt5610626,tt4290974,King Arthur: Legend of the Sword,tt1972591
tt1933667,tt1972591,tt1469304,Zombie Pizza,tt3793632
tt6794398,tt1366338,tt7104950,The Circle,tt4287320
tt5890000,tt3203620,tt6794424,Baahubali 2: The Conclusion,tt4849438
tt5044656,tt4185566,tt1972591,Obit,tt4820284
tt6878486,tt1734493,tt6900644,Django,tt6247936
tt6264596,tt1610525,tt6710212,Vir Das: Abroad Understanding,tt6822400
tt0339736,tt4185566,tt5635808,Devil's Gate,tt4610748
tt2090465,tt4066836,tt6877238,Whitney: Can I Be Me,tt5563330
tt4411596,tt5770620,tt4964772,The Girl from the Song,tt6336270
tt4185566,tt1734493,tt1933667,Get Me Roger Stone,tt6714534
tt4290974,tt5563330,tt4835894,I Am Heath Ledger,tt6739646
tt5687040,tt5767628,tt3291632,Permission,tt5390066
tt6822400,tt4964772,tt4799064,The Immortal Life of Henrietta Lacks,tt5686132
tt5031332,tt5820148,tt6794398,The Reagan Show,tt6710658
tt2312184,tt3061222,tt3914332,Sand Castle,tt2582576
tt3203620,tt5031332,tt1469304,Citizen Jane: Battle for the City,tt3699354
tt3582020,tt5890000,tt1469304,Born in China,tt4629266
tt5464234,tt4462372,tt5991206,The Promise,tt4776998
tt6877238,tt3778010,tt5044656,Phoenix Forgotten,tt6574272
tt2091256,tt1933667,tt5525310,Unforgettable,tt3462710
tt4835894,tt5173032,tt4795124,Monolith,tt4711924
tt6253522,tt3778010,tt2345759,Guardians of the Galaxy Vol. 2,tt3896198
tt6067832,tt6987652,tt5717492,Lucas Brothers: On Drugs,tt6218048
tt6367558,tt1610525,tt5352846,The Dark Tapes,tt5068650
tt4899370,tt5767628,tt5001718,Maigrets Night at the Crossroads,tt6326286
tt5068650,tt6263642,tt6973942,Skins,tt5808778
tt4818168,tt4250438,tt4218696,The Outcasts,tt2597760
tt3699354,tt2345759,tt6794398,Spark: A Space Tail,tt3228088
tt7104950,tt5770620,tt5809020,Maudie,tt3721954
tt4818168,tt2316204,tt3898776,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,tt4191702
tt4573516,tt1386691,tt6003368,Chasing Trane,tt4287434
tt2345759,tt4573516,tt4835894,Altitude,tt4556370
tt4250438,tt7104950,tt1366338,The Hatton Garden Job,tt5351458
tt4556370,tt5890000,tt3793632,Sandy Wexler,tt5893332
tt5929750,tt5610626,tt5278598,Voyage of Time: Life's Journey,tt1945228
tt5717492,tt5031332,tt4290974,False Confessions,tt5925968
tt1718924,tt6003368,tt5635808,Gifted,tt4481414
tt5820148,tt3582020,tt4799064,The Fate of the Furious,tt4630562
tt3228088,tt2597760,tt5808778,The Spacewalker,tt6673840
tt6253522,tt5925968,tt5816374,Seizure,tt5241534
tt5158522,tt5525310,tt5820148,Asylum of Darkness,tt6357202
tt5770620,tt4573516,tt5893332,Moonlight in Vermont,tt6587078
tt6822400,tt4695012,tt3823116,City of Tiny Lights,tt1966385
tt6367558,tt5563330,tt4738174,1 Mile to You,tt2184233
tt6218048,tt4629266,tt6264596,Orbiter 9,tt3469798
tt4711924,tt5351458,tt5158522,The Ticket,tt3893280
tt4590092,tt1972591,tt4835894,Speech & Debate,tt4843344
tt5893332,tt6710658,tt6218048,The Transfiguration,tt5039088
tt5770620,tt6304162,tt1734493,The Case for Christ,tt6113488
tt0339736,tt6794460,tt5173032,Their Finest,tt1661275
tt6948354,tt3778010,tt4481414,Going in Style,tt2568862
tt0339736,tt1972591,tt3793632,Teleios,tt3198000
tt4799064,tt6794424,tt4066836,Eat Locals,tt4401006
tt4799064,tt5241534,tt2568862,Aftermath,tt4581576
tt6714534,tt1386691,tt6574272,Colossal,tt4680182
tt1734493,tt4066836,tt3793632,Bye Bye Germany,tt5609734
tt3061222,tt5890000,tt6877238,A Fantastic Woman,tt5639354
tt4630562,tt5639354,tt4411596,Revengeance,tt3401174
tt5390066,tt6247936,tt6822400,With Open Arms,tt5804948
tt1386691,tt6003368,tt2568862,The Bigfoot Project,tt2852500
tt6336270,tt5158522,tt5750534,Monster High: Electrified,tt6536944
tt5039088,tt4849438,tt2184233,Louis C.K. 2017,tt6736782
tt6673840,tt4401006,tt6932742,3 Idiotas,tt3685624
tt4401006,tt3203620,tt1790809,The Zookeeper's Wife,tt1730768
tt4820284,tt3896198,tt6218048,Bottom of the World,tt2337841
tt5635808,tt1544608,tt1366338,Carrie Pilby,tt2989524
tt5278598,tt3793632,tt5816374,For Here or to Go?,tt4157510
tt5068650,tt1790809,tt4964772,Free Fire,tt4158096
tt3582020,tt3893280,tt5158522,The Discovery,tt5155780
tt1945228,tt5464234,tt1734493,The Devotion of Suspect X,tt5516464
tt3896198,tt6710658,tt2582576,All This Panic,tt5590718
tt6900644,tt5158522,tt3967856,Five Came Back,tt6587094
tt4820284,tt6587094,tt6536944,Extraordinary Mission,tt6690310
tt4964772,tt5610626,tt4185566,Kavan,tt6712026
tt5820148,tt5702566,tt6673840,The Journey,tt4826674
tt6003368,tt1469304,tt5890000,Ghost in the Shell,tt1219827
tt1691916,tt3717490,tt4126694,Orphan,tt4746516
tt5980798,tt1691916,tt1740683,Félicité,tt5980798
tt5168832,tt5980798,tt5946552,After Porn Ends 2,tt5168832
tt1781058,tt5980798,tt5168832,Wilson,tt1781058
tt3722062,tt5980798,tt1781058,Bokeh,tt3722062
tt4842646,tt5980798,tt1781058,The Most Hated Woman in America,tt4842646
tt5980798,tt5168832,tt4961380,From a House on Willow Street,tt4961380
tt5980798,tt5121816,tt4961380,The Bar,tt5121816
tt4842646,tt5980798,tt1781058,Phillauri,tt5502766
tt4842646,tt5502766,tt5121816,Red Nose Day Actually,tt6582384
tt4961380,tt5168832,tt5121816,CHiPS,tt0493405
tt0493405,tt6582384,tt5502766,Smurfs: The Lost Village,tt2398241
tt3717490,tt1781058,tt3722062,Power Rangers,tt3717490
tt5168832,tt3722062,tt4961380,The Boss Baby,tt3874544
tt5348236,tt4961380,tt1781058,The Midwife,tt5348236
tt3722062,tt3874544,tt5442430,Life,tt5442430
tt6315800,tt5121816,tt5502766,Teen Titans: The Judas Contract,tt6315800
tt5348236,tt1781058,tt3722062,Dave Chappelle: The Age of Spin,tt6648926
tt5168832,tt0493405,tt6582384,Dave Chappelle: Deep in the Heart of Texas,tt6649108
tt5980798,tt3758708,tt5168832,The Hippopotamus,tt3758708
tt6649108,tt5348236,tt5168832,Carnage: Swallowing the Past,tt6667360
tt3722062,tt6667360,tt3758708,Song to Song,tt2062700
tt6667360,tt1781058,tt6582384,Goon: Last of the Enforcers,tt2417712
tt6648926,tt1781058,tt2398241,Betting on Zero,tt3762912
tt5442430,tt1781058,tt3722062,The Cheerleader Murders,tt4896904
tt6582384,tt5442430,tt3722062,The Devil's Candy,tt4935372
tt5121816,tt5502766,tt2062700,Oasis,tt6268052
tt2062700,tt6315800,tt5442430,Beauty and the Beast,tt2771200
